Freq1,Freq2,Freq3,Freq4,Freq5,Chord
131,164,196,229,247,1
130,165,196,207,229,1
130,147,166,196,220,1
129,146,186,191,220,3
129,137,146,186,191,3
137,147,186,192,220,3
147,185,196,219,246,8
146,185,196,220,246,8
128,146,186,196,220,8

