NITERACOES,20
iter,0
Sol,Si
3.0,0.0
0.0,3.0
Corretude,100.0
iter,1
Sol,Si
3.0,0.0
0.0,3.0
Corretude,100.0
iter,2
Sol,Si
3.0,0.0
0.0,3.0
Corretude,100.0
iter,3
Sol,Si
3.0,0.0
0.0,3.0
Corretude,100.0
iter,4
Sol,Si
3.0,0.0
0.0,3.0
Corretude,100.0
iter,5
Sol,Si
3.0,0.0
0.0,3.0
Corretude,100.0
iter,6
Sol,Si
3.0,0.0
0.0,3.0
Corretude,100.0
iter,7
Sol,Si
3.0,0.0
0.0,3.0
Corretude,100.0
iter,8
Sol,Si
3.0,0.0
0.0,3.0
Corretude,100.0
iter,9
Sol,Si
3.0,0.0
0.0,3.0
Corretude,100.0
iter,10
Sol,Si
3.0,0.0
0.0,3.0
Corretude,100.0
iter,11
Sol,Si
3.0,0.0
0.0,3.0
Corretude,100.0
iter,12
Sol,Si
3.0,0.0
0.0,3.0
Corretude,100.0
iter,13
Sol,Si
3.0,0.0
0.0,3.0
Corretude,100.0
iter,14
Sol,Si
3.0,0.0
0.0,3.0
Corretude,100.0
iter,15
Sol,Si
3.0,0.0
0.0,3.0
Corretude,100.0
iter,16
Sol,Si
3.0,0.0
0.0,3.0
Corretude,100.0
iter,17
Sol,Si
3.0,0.0
0.0,3.0
Corretude,100.0
iter,18
Sol,Si
3.0,0.0
0.0,3.0
Corretude,100.0
iter,19
Sol,Si
3.0,0.0
0.0,3.0
Corretude,100.0
