NITERACOES,20
iter,0
Sol,La
3.0,0.0
0.0,3.0
Corretude,100.0
iter,1
Sol,La
3.0,0.0
0.0,3.0
Corretude,100.0
iter,2
Sol,La
3.0,0.0
0.0,3.0
Corretude,100.0
iter,3
Sol,La
3.0,0.0
0.0,3.0
Corretude,100.0
iter,4
Sol,La
3.0,0.0
0.0,3.0
Corretude,100.0
iter,5
Sol,La
3.0,0.0
0.0,3.0
Corretude,100.0
iter,6
Sol,La
3.0,0.0
0.0,3.0
Corretude,100.0
iter,7
Sol,La
3.0,0.0
0.0,3.0
Corretude,100.0
iter,8
Sol,La
3.0,0.0
0.0,3.0
Corretude,100.0
iter,9
Sol,La
3.0,0.0
1.0,2.0
Corretude,83.33333333333334
iter,10
Sol,La
3.0,0.0
0.0,3.0
Corretude,100.0
iter,11
Sol,La
3.0,0.0
0.0,3.0
Corretude,100.0
iter,12
Sol,La
3.0,0.0
0.0,3.0
Corretude,100.0
iter,13
Sol,La
3.0,0.0
0.0,3.0
Corretude,100.0
iter,14
Sol,La
3.0,0.0
0.0,3.0
Corretude,100.0
iter,15
Sol,La
3.0,0.0
0.0,3.0
Corretude,100.0
iter,16
Sol,La
3.0,0.0
0.0,3.0
Corretude,100.0
iter,17
Sol,La
3.0,0.0
0.0,3.0
Corretude,100.0
iter,18
Sol,La
3.0,0.0
0.0,3.0
Corretude,100.0
iter,19
Sol,La
3.0,0.0
0.0,3.0
Corretude,100.0
