Nome do Teste,Iteracao 1,Iteracao 2,Iteracao 3,Iteracao 4,Iteracao 5,Iteracao 6,Iteracao 7,Iteracao 8,Iteracao 9,Iteracao 10,Iteracao 11,Iteracao 12,Iteracao 13,Iteracao 14,Iteracao 15,Iteracao 16,Iteracao 17,Iteracao 18,Iteracao 19
teste_1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.33333333333334,100.0,100.0,100.0,83.33333333333334,100.0,100.0,100.0,100.0,100.0
teste_2,100.0,100.0,66.66666666666666,83.33333333333334,83.33333333333334,100.0,100.0,100.0,100.0,100.0,100.0,83.33333333333334,100.0,100.0,83.33333333333334,100.0,100.0,100.0,100.0,100.0
teste_3,66.66666666666666,83.33333333333334,100.0,100.0,83.33333333333334,83.33333333333334,83.33333333333334,100.0,100.0,100.0,83.33333333333334,100.0,100.0,50.0,83.33333333333334,83.33333333333334,100.0,100.0,83.33333333333334,83.33333333333334
teste_4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666666,100.0,100.0,100.0,100.0,83.33333333333334,100.0,100.0,83.33333333333334,100.0,66.66666666666666,100.0																																																																																	teste_5																																																																																																																																																																																																																																																																																																									,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
