NITERACOES,20
iter,0
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,0,1,2,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,1,2,0,0,0,0,0,0
0,0,0,2,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,2,0,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,72.22222222222221
iter,1
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,1,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,2,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,1,2,0,0,0,0,0,0
2,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,2,0,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,69.44444444444444
iter,2
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,1,2,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,2,0,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,77.77777777777779
iter,3
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,2,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,2,0,0,1,0,0,0
0,0,2,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,1,1,0,0,0
0,0,1,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,1,2,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,66.66666666666666
iter,4
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,1,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,0,1,2,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,2,0,0,1,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,1,1,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,66.66666666666666
iter,5
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,1,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,2,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
