132,165,166,197,197,230,263,263,331,1
131,133,166,197,197,217,263,263,295,1
131,133,166,197,198,221,263,263,295,1
139,141,177,208,210,211,236,281,315,2
139,139,173,209,210,210,217,278,315,2
139,139,176,208,208,210,234,280,311,2
147,147,186,191,221,221,221,234,296,3
147,148,186,191,221,221,221,233,296,3
148,148,187,192,221,221,222,275,296,3
156,158,177,198,198,234,235,236,315,4
156,158,178,199,199,235,236,237,315,4
156,156,175,199,199,233,234,236,311,4
165,186,208,209,209,216,248,248,331,5
166,187,208,209,217,248,248,249,332,5
166,166,206,209,216,247,248,249,332,5
132,176,176,198,221,222,222,264,306,6
131,177,177,199,222,222,263,265,306,6
132,133,177,199,222,241,264,265,332,6
139,140,186,187,209,235,235,235,324,7
139,140,186,187,187,210,235,235,324,7
139,140,187,188,210,232,235,235,324,7
148,186,197,197,198,220,248,248,296,8
148,186,197,198,198,217,247,248,294,8
147,187,198,198,221,221,249,249,294,8
156,157,168,209,210,235,263,263,313,9
156,157,182,208,209,210,233,234,313,9
156,157,182,208,208,209,233,235,313,9
166,167,209,220,221,222,222,248,330,10
139,167,209,221,221,221,222,279,331,10
140,167,210,221,221,221,222,276,331,10
149,177,213,223,231,234,235,236,297,11
149,177,204,221,232,234,235,236,298,11
149,177,204,219,223,234,234,235,298,11
157,186,187,213,236,248,249,250,315,12
158,187,187,194,237,248,249,250,316,12
158,186,188,191,237,248,248,249,316,12







