1,248,197,148,197,248,296,186,198,220,8
2,198,248,148,197,248,294,186,198,216,8
3,248,197,148,197,248,294,186,198,217,8
4,248,247,147,197,248,294,186,198,220,8
5,198,247,148,197,248,294,186,198,217,8
6,248,247,147,197,248,293,186,198,220,8
7,198,247,148,197,248,295,186,198,218,8
8,198,249,148,197,249,294,187,198,221,8
9,198,249,147,221,249,294,187,198,221,8
1,147,221,147,221,234,296,186,191,221,3
2,147,221,148,186,233,296,184,208,221,3
3,147,221,147,221,233,296,187,191,221,3
4,147,221,147,221,233,296,186,191,221,3
5,147,221,148,221,233,296,186,191,221,3
6,147,221,148,220,275,296,187,192,220,3
7,148,222,148,222,234,296,187,191,222,3
8,147,221,148,221,233,296,187,192,221,3
9,148,221,148,221,275,296,187,192,222,3
