64,148,186,197,197,198,220,248,248,296,8
65,148,186,197,198,198,216,248,248,294,8
66,148,186,197,197,198,217,248,248,294,8
67,147,186,197,198,220,247,248,248,294,8
68,148,186,197,198,198,217,247,248,294,8
69,147,186,197,198,220,247,248,248,293,8
70,148,186,197,198,198,218,247,248,295,8
71,148,187,197,198,198,221,249,249,294,8
72,147,187,198,198,221,221,249,249,294,8
46,132,176,176,198,221,222,222,264,306,6
47,133,176,176,198,222,222,264,264,306,6
48,132,133,176,197,222,222,263,266,306,6
49,175,176,176,177,199,219,219,266,306,6
50,131,133,177,198,222,222,263,265,332,6
51,131,177,177,199,222,222,263,265,306,6
52,133,176,177,199,219,221,264,265,332,6
53,133,176,177,198,219,222,263,265,332,6
54,132,133,177,199,222,241,264,265,332,6
55,139,140,186,187,209,235,235,235,324,7
56,140,186,186,187,209,235,235,280,324,7
57,139,141,174,186,208,209,232,235,324,7
58,141,186,186,186,187,211,235,281,324,7
59,139,140,186,187,187,210,235,235,324,7
60,139,140,186,187,188,210,235,281,324,7
61,141,186,188,210,232,234,235,235,283,7
62,140,176,186,210,232,235,235,235,324,7
63,139,140,187,188,210,232,235,235,324,7
12,156,263,157,209,263,313,168,210,235,9
1,132,165,166,197,197,230,263,263,331,1
2,131,165,166,197,197,197,233,263,330,1
3,131,133,166,196,197,197,216,263,294,1
4,131,133,166,196,197,241,263,263,331,1
5,131,133,166,197,197,217,263,263,295,1
6,131,133,166,166,197,208,229,263,331,1
7,131,133,166,196,197,232,263,264,295,1
8,131,133,166,197,197,217,263,264,295,1
9,131,133,166,197,198,221,263,263,295,1
82,166,167,209,220,221,222,222,248,330,10
83,140,166,192,220,220,221,221,279,330,10
84,139,166,209,220,220,221,221,248,331,10
85,166,166,209,220,220,221,221,275,331,10
86,139,167,209,221,221,221,222,279,331,10
87,166,166,207,220,221,221,221,275,331,10
88,140,167,210,220,221,221,222,275,331,10
89,140,166,193,220,221,221,221,276,331,10
90,140,167,210,221,221,221,222,276,331,10
