0,230,263,0,1
0,0,233,263,1
197,0,216,263,1
197,241,263,0,1
0,217,263,0,1
197,208,229,263,1
197,232,263,264,1
0,217,263,264,1
198,221,263,0,1
210,211,236,281,2
210,217,256,278,2
210,0,216,281,2
210,216,254,280,2
210,0,217,280,2
210,0,217,278,2
0,219,253,280,2
209,218,257,280,2
0,210,234,280,2
221,0,0,234,3
208,221,0,233,3
221,0,0,233,3
221,0,0,233,3
221,0,0,233,3
220,0,221,275,3
222,0,0,234,3
221,0,0,233,3
221,0,222,275,3
0,234,235,236,4
0,234,235,247,4
210,211,216,280,4
0,234,235,259,4
0,235,236,237,4
0,235,236,237,4
0,235,236,259,4
0,236,237,254,4
0,233,234,236,4
0,216,248,0,5
0,0,226,248,5
227,248,0,0,5
0,226,247,0,5
217,248,0,249,5
241,248,0,249,5
209,241,249,0,5
0,227,247,249,5
216,247,248,249,5
221,222,0,264,6
222,0,264,0,6
222,0,263,266,6
199,219,0,266,6
222,0,263,265,6
222,0,263,265,6
219,221,264,265,6
219,222,263,265,6
222,241,264,265,6
209,235,0,0,7
209,235,0,280,7
208,209,232,235,7
187,211,235,281,7
0,210,235,0,7
188,210,235,281,7
232,234,235,0,7
232,235,0,0,7
210,232,235,0,7
198,220,248,0,8
0,216,248,0,8
198,217,248,0,8
220,247,248,0,8
0,217,247,248,8
220,247,248,0,8
0,218,247,248,8
0,221,249,0,8
221,0,249,0,8
210,235,263,0,9
210,235,263,0,9
0,210,234,260,9
209,210,234,235,9
209,210,233,234,9
0,209,234,235,9
210,235,263,264,9
0,209,235,260,9
0,209,233,235,9
221,222,0,248,10
0,221,0,279,10
0,221,0,248,10
0,221,0,275,10
0,0,222,279,10
221,0,0,275,10
221,0,222,275,10
221,0,0,276,10
0,0,222,276,10
231,234,235,236,11
232,234,0,0,11
224,234,0,235,11
232,234,235,0,11
232,234,235,236,11
234,235,0,236,11
230,234,235,236,11
230,234,0,235,11
223,234,0,235,11
236,248,249,250,12
235,248,249,0,12
237,248,249,250,12
237,248,0,249,12
237,248,249,250,12
237,248,249,0,12
237,248,249,250,12
237,248,249,250,12
237,248,0,249,12
