131,165,166,197,197,197,233,263,330,1
131,133,166,196,197,197,216,263,294,1
131,133,166,196,197,241,263,263,331,1
131,133,166,166,197,208,229,263,331,1
131,133,166,196,197,232,263,264,295,1
131,133,166,197,197,217,263,264,295,1
139,139,176,209,210,217,256,278,283,2
139,139,176,208,210,210,216,281,283,2
139,140,176,209,210,216,254,280,283,2
139,141,176,209,210,210,217,280,316,2
139,140,176,209,209,219,253,280,283,2
139,140,176,208,209,218,257,280,283,2
147,148,184,186,208,221,221,233,296,3
147,147,187,191,221,221,221,233,296,3
147,147,186,191,221,221,221,233,296,3
147,148,187,192,220,220,221,275,296,3
148,148,187,191,222,222,222,234,296,3
147,148,187,192,221,221,221,233,296,3
156,157,188,198,198,234,235,247,314,4
139,141,177,209,210,211,216,280,316,4
156,158,189,199,199,234,235,259,311,4
156,158,178,199,199,235,236,237,315,4
156,157,191,199,199,235,236,259,311,4
156,157,187,199,199,236,237,254,315,4
165,166,186,209,209,209,226,248,331,5
165,186,209,209,227,248,248,248,288,5
165,166,187,209,209,226,247,247,331,5
166,187,209,209,241,248,248,249,332,5
164,165,166,193,209,241,249,249,332,5
166,166,187,209,209,227,247,249,314,5
133,176,176,198,222,222,264,264,306,6
132,133,176,197,222,222,263,266,306,6
175,176,176,177,199,219,219,266,306,6
131,133,177,198,222,222,263,265,332,6
133,176,177,199,219,221,264,265,332,6
133,176,177,198,219,222,263,265,332,6
140,186,186,187,209,235,235,280,324,7
139,141,174,186,208,209,232,235,324,7
141,186,186,186,187,211,235,281,324,7
139,140,186,187,188,210,235,281,324,7
141,186,188,210,232,234,235,235,283,7
140,176,186,210,232,235,235,235,324,7
148,186,197,198,198,216,248,248,294,8
148,186,197,197,198,217,248,248,294,8
147,186,197,198,220,247,248,248,294,8
147,186,197,198,220,247,248,248,293,8
148,186,197,198,198,218,247,248,295,8
148,187,197,198,198,221,249,249,294,8
156,182,208,209,210,235,263,263,313,9
156,156,182,208,208,210,234,260,313,9
156,157,182,208,209,210,234,235,313,9
156,157,182,208,208,209,234,235,313,9
157,171,208,209,210,235,263,264,314,9
157,182,208,208,208,209,235,260,314,9
140,166,192,220,220,221,221,279,330,10
139,166,209,220,220,221,221,248,331,10
166,166,209,220,220,221,221,275,331,10
166,166,207,220,221,221,221,275,331,10
140,167,210,220,221,221,222,275,331,10
140,166,193,220,221,221,221,276,331,10
176,177,204,222,232,234,234,234,292,11
149,177,204,223,224,234,234,235,292,11
175,176,205,224,232,234,235,235,299,11
149,177,205,229,234,235,235,236,298,11
149,177,191,223,230,234,235,236,298,11
149,177,205,223,230,234,234,235,298,11
157,186,187,195,235,248,249,249,314,12
158,187,188,193,237,248,249,250,317,12
158,186,187,195,237,248,248,249,316,12
158,187,187,197,237,248,249,249,316,12
158,187,188,192,237,248,249,250,316,12
158,186,187,194,237,248,249,250,316,12
