132,165,166,1
131,165,166,1
131,133,166,1
131,133,166,1
131,133,166,1
131,133,166,1
131,133,166,1
131,133,166,1
131,133,166,1
139,141,177,2
139,139,176,2
139,139,176,2
139,140,176,2
139,141,176,2
139,139,173,2
139,140,176,2
139,140,176,2
139,139,176,2
147,147,186,3
147,148,184,3
147,147,187,3
147,147,186,3
147,148,186,3
147,148,187,3
148,148,187,3
147,148,187,3
148,148,187,3
156,158,177,4
156,157,188,4
139,141,177,4
156,158,189,4
156,158,178,4
156,158,178,4
156,157,191,4
156,157,187,4
156,156,175,4
165,186,208,5
165,166,186,5
165,186,209,5
165,166,187,5
166,187,208,5
166,187,209,5
164,165,166,5
166,166,187,5
166,166,206,5
132,176,176,6
133,176,176,6
132,133,176,6
175,176,176,6
131,133,177,6
131,177,177,6
133,176,177,6
133,176,177,6
132,133,177,6
139,140,186,7
140,186,186,7
139,141,174,7
141,186,186,7
139,140,186,7
139,140,186,7
141,186,188,7
140,176,186,7
139,140,187,7
148,186,197,8
148,186,197,8
148,186,197,8
147,186,197,8
148,186,197,8
147,186,197,8
148,186,197,8
148,187,197,8
147,187,198,8
156,157,168,9
156,182,208,9
156,156,182,9
156,157,182,9
156,157,182,9
156,157,182,9
157,171,208,9
157,182,208,9
156,157,182,9
166,167,209,10
140,166,192,10
139,166,209,10
166,166,209,10
139,167,209,10
166,166,207,10
140,167,210,10
140,166,193,10
140,167,210,10
149,177,213,11
176,177,204,11
149,177,204,11
175,176,205,11
149,177,204,11
149,177,205,11
149,177,191,11
149,177,205,11
149,177,204,11
157,186,187,12
157,186,187,12
158,187,188,12
158,186,187,12
158,187,187,12
158,187,187,12
158,187,188,12
158,186,187,12
158,186,188,12
