166,0,230,263,0,1
166,0,0,233,263,1
166,197,0,216,263,1
166,197,241,263,0,1
166,0,217,263,0,1
166,197,208,229,263,1
166,197,232,263,264,1
166,0,217,263,264,1
166,198,221,263,0,1
177,210,211,236,281,2
176,210,217,256,278,2
176,210,0,216,281,2
176,210,216,254,280,2
176,210,0,217,280,2
173,210,0,217,278,2
176,0,219,253,280,2
176,209,218,257,280,2
176,0,210,234,280,2
186,221,0,0,234,3
184,208,221,0,233,3
187,221,0,0,233,3
186,221,0,0,233,3
186,221,0,0,233,3
187,220,0,221,275,3
187,222,0,0,234,3
187,221,0,0,233,3
187,221,0,222,275,3
177,0,234,235,236,4
188,0,234,235,247,4
177,210,211,216,280,4
189,0,234,235,259,4
178,0,235,236,237,4
178,0,235,236,237,4
191,0,235,236,259,4
187,0,236,237,254,4
175,0,233,234,236,4
208,0,216,248,0,5
186,0,0,226,248,5
209,227,248,0,0,5
187,0,226,247,0,5
208,217,248,0,249,5
209,241,248,0,249,5
166,209,241,249,0,5
187,0,227,247,249,5
206,216,247,248,249,5
0,221,222,0,264,6
0,222,0,264,0,6
176,222,0,263,266,6
0,199,219,0,266,6
177,222,0,263,265,6
0,222,0,263,265,6
177,219,221,264,265,6
177,219,222,263,265,6
177,222,241,264,265,6
186,209,235,0,0,7
0,209,235,0,280,7
174,208,209,232,235,7
0,187,211,235,281,7
186,0,210,235,0,7
186,188,210,235,281,7
188,232,234,235,0,7
186,232,235,0,0,7
187,210,232,235,0,7
197,198,220,248,0,8
197,0,216,248,0,8
197,198,217,248,0,8
197,220,247,248,0,8
197,0,217,247,248,8
197,220,247,248,0,8
197,0,218,247,248,8
197,0,221,249,0,8
198,221,0,249,0,8
168,210,235,263,0,9
208,210,235,263,0,9
182,0,210,234,260,9
182,209,210,234,235,9
182,209,210,233,234,9
182,0,209,234,235,9
208,210,235,263,264,9
208,0,209,235,260,9
182,0,209,233,235,9
209,221,222,0,248,10
192,0,221,0,279,10
209,0,221,0,248,10
209,0,221,0,275,10
209,0,0,222,279,10
207,221,0,0,275,10
210,221,0,222,275,10
193,221,0,0,276,10
210,0,0,222,276,10
213,231,234,235,236,11
204,232,234,0,0,11
204,224,234,0,235,11
205,232,234,235,0,11
204,232,234,235,236,11
205,234,235,0,236,11
191,230,234,235,236,11
205,230,234,0,235,11
204,223,234,0,235,11
187,236,248,249,250,12
187,235,248,249,0,12
188,237,248,249,250,12
187,237,248,0,249,12
0,237,248,249,250,12
0,237,248,249,0,12
188,237,248,249,250,12
187,237,248,249,250,12
188,237,248,0,249,12
