0,230,263,1
0,0,233,1
197,0,216,1
197,241,263,1
0,217,263,1
197,208,229,1
197,232,263,1
0,217,263,1
198,221,263,1
210,211,236,2
210,217,256,2
210,0,216,2
210,216,254,2
210,0,217,2
210,0,217,2
0,219,253,2
209,218,257,2
0,210,234,2
221,0,0,3
208,221,0,3
221,0,0,3
221,0,0,3
221,0,0,3
220,0,221,3
222,0,0,3
221,0,0,3
221,0,222,3
0,234,235,4
0,234,235,4
210,211,216,4
0,234,235,4
0,235,236,4
0,235,236,4
0,235,236,4
0,236,237,4
0,233,234,4
0,216,248,5
0,0,226,5
227,248,0,5
0,226,247,5
217,248,0,5
241,248,0,5
209,241,249,5
0,227,247,5
216,247,248,5
221,222,0,6
222,0,264,6
222,0,263,6
199,219,0,6
222,0,263,6
222,0,263,6
219,221,264,6
219,222,263,6
222,241,264,6
209,235,0,7
209,235,0,7
208,209,232,7
187,211,235,7
0,210,235,7
188,210,235,7
232,234,235,7
232,235,0,7
210,232,235,7
198,220,248,8
0,216,248,8
198,217,248,8
220,247,248,8
0,217,247,8
220,247,248,8
0,218,247,8
0,221,249,8
221,0,249,8
210,235,263,9
210,235,263,9
0,210,234,9
209,210,234,9
209,210,233,9
0,209,234,9
210,235,263,9
0,209,235,9
0,209,233,9
221,222,0,10
0,221,0,10
0,221,0,10
0,221,0,10
0,0,222,10
221,0,0,10
221,0,222,10
221,0,0,10
0,0,222,10
231,234,235,11
232,234,0,11
224,234,0,11
232,234,235,11
232,234,235,11
234,235,0,11
230,234,235,11
230,234,0,11
223,234,0,11
236,248,249,12
235,248,249,12
237,248,249,12
237,248,0,12
237,248,249,12
237,248,249,12
237,248,249,12
237,248,249,12
237,248,0,12
